IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
UNEP,UNDP,0.784619868227137,0.747152578898324,0.03746728932881305,True,False
UNEP,UNCTAD,0.24088353278597296,0.8219350982610496,-0.5810515654750766,False,False
UNEP,UNIDO,0.8714262586396293,0.9035452033073578,-0.032118944667728466,False,False
UNEP,ILO,0.4822445673363533,0.9171376937218341,-0.4348931263854808,False,False
UNEP,ITU,0.2693159769848675,0.8905218525512202,-0.6212058755663528,False,False
UNEP,UNICEF,0.5078270762876799,0.8845256919148922,-0.3766986156272123,False,False
UNEP,WHO,0.5289260787403457,0.8732910141061616,-0.3443649353658159,False,False
UNEP,UNHCR/OHCHR,0.34913111494778,0.6997521144339779,-0.3506209994861979,False,False
UNEP,UNDRR,0.6044777711198964,0.7398554021542912,-0.13537763103439482,False,False
UNEP,UNGC,0.5607752368575379,0.6722105856695401,-0.11143534881200212,False,False
UNEP,IAEA,0.44249416954280923,0.7314045424539003,-0.28891037291109106,False,False
UNEP,WMO,0.6721782146713777,0.6619962353849607,0.010181979286417064,True,False
UNEP,OECD,0.6454381731857696,0.5917025906772132,0.05373558250855637,True,False
UNEP,WBG,0.7982288596710019,0.6080923424070785,0.19013651726392333,True,True
UNEP,IMF,0.8105705964837645,0.7802157031580034,0.030354893325761134,True,False
UNEP,IHO,0.5787246914651338,0.6957574820214393,-0.11703279055630544,False,False
UNEP,ICES,0.5929611479986895,0.7746792292085525,-0.181718081209863,False,False
UNEP,IPBES,0.5649641575149573,0.6550208216382801,-0.0900566641233228,False,False
UNEP,IPCC,0.6001286570722569,0.7307115003145879,-0.13058284324233094,False,False
UNEP,WTO,0.828464524223178,0.7128679846793797,0.11559653954379823,True,False
UNEP,IOM,0.7754285666868153,0.7928270522433857,-0.01739848555657042,False,False
UNEP,UNOPS,0.4481688758402858,0.5587632303603496,-0.11059435452006378,False,False
UNEP,UN Women,0.0,0.7934220284152537,-0.7934220284152537,False,False
UNEP,WIPO,0.48805605336307106,0.7203940716848594,-0.2323380183217883,False,False
UNEP,UNFPA,0.5454744125822559,0.7531259662637116,-0.20765155368145571,False,False
UNEP,UN-Habitat,0.7744509474693875,0.6552808704300486,0.1191700770393389,True,False
UNEP,WFP,0.12044176639298652,0.7954693587089557,-0.6750275923159692,False,False
UNEP,UNWTO,0.6620519162313513,0.8783492867862721,-0.21629737055492082,False,False
UNEP,UNRISD,0.5007497963932815,0.7800398346741717,-0.27929003828089016,False,False
UNEP,BRS,0.8186448409302415,0.5783896587248133,0.24025518220542819,True,True
UNEP,CBD,0.5935892924818829,0.7658695555758739,-0.17228026309399103,False,False
UNEP,CITES,0.6238938920946031,0.6198849909159074,0.0040089011786956785,True,False
UNEP,CMS,0.8460689611152463,0.5968452808222928,0.2492236802929535,True,True
UNEP,IFAD,0.41138695013138005,0.6743580896095461,-0.2629711394781661,False,False
UNEP,ITC,0.261274875241182,0.7242033389036235,-0.46292846366244156,False,False
UNEP,UNCCD,0.6874660221300349,0.8259488722850564,-0.1384828501550215,False,False
UNEP,UNU,0.6508469443800964,0.4663244288144907,0.18452251556560567,True,False
UNEP,Ramsar,0.7296415564469715,0.694661837599209,0.03497971884776252,True,False
UNEP,Minamata,0.6997034331417613,0.7167556656683829,-0.01705223252662158,False,False
UNEP,UNOOSA,0.4947650423940475,0.7413914040457834,-0.2466263616517359,False,False
UNEP,UNODC,0.36132529917895945,0.7442827568150086,-0.3829574576360491,False,False
UNDP,UNCTAD,0.26402149753677623,0.6967787385952853,-0.43275724105850905,False,False
UNDP,UNIDO,0.6747287533924688,0.8104248992819294,-0.13569614588946055,False,False
UNDP,ILO,0.48452121095106654,0.7788884283061899,-0.29436721735512333,False,False
UNDP,ITU,0.0,0.7549648806063073,-0.7549648806063073,False,False
UNDP,UNICEF,0.2890070596608744,0.8242302596989752,-0.5352232000381008,False,False
UNDP,WHO,0.4756774129959154,0.8349064853789465,-0.3592290723830311,False,False
UNDP,UNHCR/OHCHR,0.4495665372502491,0.776006493538775,-0.32643995628852596,False,False
UNDP,UNDRR,0.6041117815680055,0.8152469446263733,-0.21113516305836777,False,False
UNDP,UNGC,0.6691347384090786,0.8617641709916801,-0.19262943258260157,False,False
UNDP,IAEA,0.3596384154115913,0.7047399562542613,-0.34510154084267003,False,False
UNDP,WMO,0.5972703074938305,0.7133868299871184,-0.11611652249328797,False,False
UNDP,OECD,0.5422295777091523,0.7879107347537099,-0.24568115704455762,False,False
UNDP,WBG,0.7549733592582015,0.8917975329487148,-0.13682417369051325,False,False
UNDP,IMF,0.7157756006325339,0.6931769718022736,0.022598628830260314,True,False
UNDP,IHO,0.45014481648814353,0.6473759601195006,-0.19723114363135708,False,False
UNDP,ICES,0.45117242943151387,0.7741464411363834,-0.32297401170486956,False,False
UNDP,IPBES,0.4648040810907093,0.7809639488096585,-0.31615986771894916,False,False
UNDP,IPCC,0.5059798143379525,0.7447986029735677,-0.23881878863561523,False,False
UNDP,WTO,0.7038776599226058,0.733615268216428,-0.029737608293822215,False,False
UNDP,IOM,0.8609315751499091,0.7885410513880686,0.07239052376184052,True,False
UNDP,UNOPS,0.5290035106378518,0.8239098939429498,-0.294906383305098,False,False
